Day,Date,Country,City,Lat / Long,Location,Housing,Solo?,Weather,Health,Morale,Housing,Notes,,Companion(s),Chance Encounters
220,2017-Feb-19 (Sun),Namibia,Swakopmund,,Amanpuri Lodge,Hotel Upgrade,FALSE,4,4,,,Four wheeling over the dunes. Nap times. Go carting! Jake/Paige going away dinner. Upgrade TV movie times.,,,
221,2017-Feb-20 (Mon),Namibia,??,,??,Bush Camp,FALSE,5,4,5,4,Morning haircut and errand successes. Scenic drive to bush camp by grotto cave. Debrief with Denisha about legal implications of cradle robbing.,,,
222,2017-Feb-21 (Tue),Namibia,,,,,FALSE,4,4,4,,Surprisingly scenic and game-filled drive from cave bush camp. Tropic of Capricorn with opposite-direction truck. Visit to some dune “salt” flats after setting up camp. Final cook group success. ,,,
223,2017-Feb-22 (Wed),Namibia,,,Moritz Campground,,FALSE,5,4,5,4,Dawn visit to Dune 45. Truck agrees to change itinerary for Al’s go-carting injuries. Move campground tent to corner by the abandoned bodega bar and try role-playing bartender/patron with Kate. ,,,
224,2017-Feb-23 (Thu),Namibia,,,,,FALSE,5,4,5,5,"Hour backtrack from Al’s doctor-friendly stop, so early start to Fish River Canyon. Revote on cape visit. Fun social night at bar and fun night at the upgrade. Rumors from late night were generated.",,,
225,2017-Feb-24 (Fri),South Africa,Trawal,,Highlanders Campsite and Lodge,Hotel Upgrade,FALSE,5,4,4,4,Border crossing with Hamish/Tony getting screwed. Long drive day afterward. Cool camp with Kate sick and an upgrade again. Late night  hat with Sophie & Q.,,,
226,2017-Feb-25 (Sat),South Africa,Stellenbosch,,,,FALSE,5,4,5,4,Long drive day to campground with trampolines. Denisha leaves tour. Early drunk campfire night with Kate on the mend and feeling drinky.,,,
227,2017-Feb-26 (Sun),South Africa,Stellenbosch,,Stumble Inn Hostel,Hostel Upgrade,FALSE,5,3,3,3,"Tiny drive to Stumble Inn hostel. Skip wine tour due to sore throat, leads to sober vs drunk fallout with Kate. Late lunch means I skip dinner out with the crew.",,,
228,2017-Feb-27 (Mon),South Africa,Cape Town,,Salty Crax Hostel,Hostel Upgrade,FALSE,4,4,4,4,Move to Salty Crax where the trip ends. Long challenging truck clean. Boys slobbery and Kate catty about super hot volunteer at the camp. ,,,
229,2017-Feb-28 (Tue),South Africa,Cape Town,,,AirBnB,FALSE,5,4,5,4,"Move to AirBnB. Meet up for final dinner which is eventually very drunken and fun. But forget the last hour or so, including many earnest goodbyes. Skinny dipping (I hear) back home.",,,
230,2017-Mar-01 (Wed),South Africa,Cape Town,,,AirBnB,FALSE,5,3,4,4,Lazy hangover day in bed. Catching up on blackout goodbyes from the night before.,,,
231,2017-Mar-02 (Thu),South Africa,Cape Town,,,AirBnB,FALSE,5,3,4,4,"Lazy day in bed with naps and TV while Kate walked around town. Early dinner out on the waterfront, drop off phone (at 3rd store) for repairs. Movie night in.",,,
232,2017-Mar-03 (Fri),South Africa,Cape Town,,,AirBnB,FALSE,5,4,5,4,"Picked up repaired iPhone, Instagram finally kicks back in. Dinner at burger joint with great food and shitty drunk crowd. Movie night with Chomsky and chatting.",,,
233,2017-Mar-04 (Sat),South Africa,Cape Town,,,AirBnB,FALSE,5,4,4,4,Brunch at home. Robben Island tour with unintelligible bus guide (nap) and booming staccato jail guide. Deli food to go. Movie night in with Kate in manic mode.,,,
